sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
032-DeseretIndust-5.28.24-Jim-331	X0049B8UA9	1401211623	Time Guardian 2	UsedAcceptable	86.73	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
032-DeseretIndust-6.1.24-Jim-911	X0049IB2VB	0425170594	The Lost Bird	UsedGood	8.43	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
032-DeseretIndust-6.4.24-Jim-142	X0049M8GJX	0743298071	Once Upon a River: A Novel	UsedGood	10.99	No		Yes	1	1	0	0	1	0.05	0	0	0	0	0	0
032-DeseretIndust-7.12.24-Jim-690	X004BI0JSL	1950259269	Dead Inside	UsedGood	17.96	No		Yes	1	1	0	0	1	0.01	0	0	0	0	0	0
032-DeseretIndust-7.25.24-Jim-673	X004C28XF7	1418080918	Oran's Dictionary of the Law	UsedGood	80.54	No		Yes	0	0	0	0	3	0.04	3	0	0	0	0	0
032-NPS-7.25.24-Jim-631	X004C23ASR	1984826832	Who Do You Say I Am?: Daily Reflections on the Bible, the Saints, and the Answer That Is Christ	UsedGood	14.39	No		Yes	2	2	0	0	8	0.02	6	0	0	0	0	0
032-NPS-8.19.24-Jim-705	X004D50AS1	3836527839	Marc Chagall, 1887-1985: Painting As Poetry: English Edition	UsedGood	13.60	No		Yes	1	0	0	1	1	0.03	0	0	0	0	0	0
032-NPSAuction-8.29.24-Jim-864	X004DN8GPH	1138692522	The Anthropology of Religion, Magic, and Witchcraft	UsedAcceptable	108.16	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
032-Thrift-6.26.24-Jim-822	X004AU9EXB	B0B3BGX8LY	Project 369: The Key To Wealth, Abundance & Prosperity	UsedVeryGood	27.00	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
033-DeseretIndust-6.1.24-Jim-099	X0049I9HGX	0316601039	Cold Zero: Inside the FBI Hostage Rescue Team	UsedAcceptable	8.16	No		Yes	1	1	0	0	1	0.05	0	0	0	0	0	0
033-DeseretIndust-6.4.24-Jim-505	X0049M8GPR	0977723607	Keys to the Vault: Lessons From the Pros on Raising Money and Igniting Your Business	UsedGood	26.95	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
033-DeseretIndust-7.12.24-Jim-639	X004BI0JTP	1590203356	Psycho: A Novel	UsedGood	11.50	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
034-DeseretIndust-5.28.24-Jim-744	X0049BGQR3	0451475763	Never Ever	UsedGood	16.55	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
034-DeseretIndust-6.4.24-Jim-378	X0049MGSV1	1626250766	The Untethered Soul: The Journey Beyond Yourself	UsedGood	9.68	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
034-DeseretIndust-7.12.24-Jim-842	X004BI2YJX	1951971035	Goddess of Filth	UsedGood	13.40	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
034-NPS-6.1.24-Jim-204	X0049I9HQX	B0BRZTG4TD	The Boy From Block 66: A WW2 Jewish Holocaust Survival True Story (Heroic Children of World War II)	UsedAcceptable	14.57	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
034-NPS-7.25.24-Jim-980	X004C20O2R	1632174553	Chinese Soul Food: A Friendly Guide for Homemade Dumplings, Stir-Fries, Soups, and More	UsedGood	17.47	No		Yes	1	1	0	0	4	0.03	3	0	0	0	0	0
035-DeseretIndust-5.28.24-Jim-259	X0049B9YBX	1665711396	The Next Cmo: A Guide to Operational Marketing Excellence	UsedGood	5.98	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
035-DeseretIndust-6.1.24-Jim-173	X0049I9JNJ	0312265867	To the Nines: Stephanie Plum Novels	UsedGood	8.99	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
035-DeseretIndust-6.4.24-Jim-520	X0049MGT3N	0803667043	Phillips's Manual of I.V. Therapeutics: Evidence-Based Practice for Infusion Therapy	UsedGood	18.55	No		Yes	0	0	0	0	0	0.06	0	0	0	0	0	0
035-DeseretIndust-7.12.24-Jim-538	X004BI0L5H	B099FZ287G	Only The Stains Remain	UsedGood	10.48	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
035-DeseretIndust-7.25.24-Jim-499	X004C20KA3	0981957641	Sexual Wholeness in Marriage: An LDS Perspective on Integrating Sexuality and Spirituality in Our Marriages	UsedAcceptable	18.97	No		Yes	0	0	0	0	3	0.03	3	0	0	0	0	0
035-DeseretIndust-8.19.24-Jim-275	X004D4SRNH	B0BW32LXTQ	Betting on the Boy Next Door: a Sweet Romantic Comedy (Betting on Love)	UsedGood	14.91	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
035-NPS-5.21.24-Jim-132	X00490JXIN	1443425311	Made In Quebec	UsedGood	12.81	No		Yes	0	0	0	0	0	0.06	0	0	0	0	0	0
036-DeseretIndust-5.28.24-Jim-892	X0049BGC09	1616287330	Taco Night (Williams-Sonoma)	UsedGood	15.51	No		Yes	1	1	0	0	1	0.03	0	0	0	0	0	0
036-DeseretIndust-6.1.24-Jim-277	X0049IE9X9	1951097955	Facts About Cats and Dogs	UsedGood	28.50	No		Yes	1	1	0	0	1	0.01	0	0	0	0	0	0
036-DeseretIndust-6.4.24-Jim-055	X0049MJF6V	1555177530	A Gift of Ice (The Jimmy Fincher Saga, 2)	UsedGood	7.97	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
036-DeseretIndust-7.12.24-Jim-636	X004BI3OUL	1608613763	Friends & Foes	UsedGood	11.99	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
036-DeseretIndust-7.25.24-Jim-729	X004C25PAX	1947888323	Three Lines in a Circle: The Exciting Life of the Peace Symbol	UsedGood	14.03	No		Yes	1	1	0	0	4	0.03	3	0	0	0	0	0
036-DeseretIndust-8.19.24-Jim-129	X004D50CUR	067492438X	The United States and China: Fourth Edition, Revised and Enlarged (American Foreign Policy Library)	UsedAcceptable	19.99	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
036-NPS-5.21.24-Jim-369	X00490NR3F	1543590934	10-minute Engineering Projects (10-minute Makers)	UsedGood	21.14	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
